Timestamp,Helmet_ID,Temp_C,Humidity_Percent,CH4_ppm,H2S_ppm,CO_ppm,VOC_ppm,Pressure_hPa,Mud_Level_cm,Mud_Viscosity_Index,Mud_Salinity_uS_cm,Accel_Z_g,Light_lux,Impact_N,Fluid_Level_cm,Target,Danger_Level
2025-06-18 10:00:00,HM-A104,36.87270059423681,36.01074166800233,5.0119918265372965,0.0305466452481379,4.205373627993131,239.28020319777167,1013.2566727305972,14.406217276884185,7.32269641262384,957.6591800881904,0.955700003764102,19.56836688422645,1,13.997380667472491,1,потенциально опасно
2025-06-18 10:00:01,HM-B210,39.75357153204958,37.05585862643824,6.482571081861451,0.0414609596504146,4.931671542279483,269.6111173621964,1013.1647411263168,15.706974861398749,7.216140895398163,984.19304036021,1.0277796261771226,21.930703511381097,2,13.660757863241958,0,опасно
2025-06-18 10:00:02,HM-A104,38.65996970905702,36.88405018492137,4.001793816504386,0.0449656460577651,3.673512835472175,250.803511777664,1013.9738073328704,13.641786761636029,6.216299196026525,990.5158104530628,1.018882311193983,20.803176660772213,1,11.17598249480147,1,потенциально опасно
2025-06-18 10:00:03,HM-B210,37.99329242098519,33.74552887020121,4.923457450078358,0.0455560908507642,4.919396739504623,234.67159334212496,1013.7738647926344,14.466322170525531,7.312029159183012,942.6998092745484,0.9664131428625928,23.37820708549755,2,11.383647393248976,0,потенциально опасно
2025-06-18 10:00:04,HM-A104,35.780093202212186,31.668602016987528,4.723495642923286,0.012598304906559,4.60004227209814,254.21714511360625,1012.8216863549618,16.580755134072007,7.84790981964986,857.9161873898922,1.0086862586628582,24.07172490385921,2,12.48320996404798,1,безопасно
2025-06-18 10:00:05,HM-B210,35.77997260168101,34.305293384622075,4.700702083205833,0.0529873902842533,4.456248204401245,234.5419090530707,1012.7431716818252,16.77827712620767,6.322219810371666,961.129394494266,0.9852974454268508,20.38586092045208,0,11.735603344594145,1,безопасно
2025-06-18 10:00:06,HM-A104,35.290418060841,31.425941440819088,4.204559859296388,0.0329126657382524,4.467916632985345,236.44686527099088,1012.59370406856,16.635345580255926,7.194124041885775,866.514295789283,0.9511262782617104,22.62277454589568,0,11.242907711530492,0,безопасно
2025-06-18 10:00:07,HM-B210,39.33088072887468,38.90097035183808,4.5613728112315055,0.0231208040848107,4.740091472594424,241.98049160141028,1012.3048138400758,13.3122403348192,6.683730743873388,950.4622176531736,1.0088811515242928,21.84333388262409,2,11.763663478237156,0,потенциально опасно
2025-06-18 10:00:08,HM-A104,38.00557505871605,33.45877460737857,5.66664870965686,0.022088225373984,3.660379796569732,272.9763852623745,1012.276167313204,13.162345201083816,6.919223343547208,966.9048753621814,1.0025248731699568,19.949111430388037,0,11.183534293021408,1,безопасно
2025-06-18 10:00:09,HM-B210,38.54036288898023,31.54459747223324,4.874083218513233,0.0341507056421975,4.257131485348313,276.2306266166486,1012.2645674160192,13.48832252964657,6.57400035815794,958.879706623971,0.9928641663290404,19.90358561969101,0,12.589737326346947,0,потенциально опасно
